code	in_dalarna_excel	in_blomma_json	in_vault
ASR24V	1	1	1
ASR24W	1	1	1
ASR24X	1	1	1
ASR25P	1	1	1
ASR25Q	1	1	1
ASR25T	1	1	1
ASR25U	1	1	1
ASR25V	1	1	1
ASR26N	1	1	1
ASR26S	1	1	1
ASR284	1	1	1
ASR285	1	1	1
ASR286	1	1	1
ASR296	1	1	1
ASR29S	1	1	1
ASR29T	1	1	1
ASR29U	1	1	1
ASR29V	1	1	1
ASR29W	1	1	1
ASR2AD	1	1	1
ASR2B9	1	1	1
ASR2BM	1	1	1
ASR2CE	1	1	1
ASR2CF	1	1	1
ASR2CG	1	1	1
ASR2CH	1	1	1
ASR2CJ	1	1	1
ASR2CK	1	1	1
ASS257	1	1	1
ASS258	1	1	1
ASS26C	1	1	1
ASS28X	1	1	1
ASV29Z	1	1	1
ASV2A2	1	1	1
ASV2CP	0	0	1
ASV2CQ	0	0	1
ATR25Z	1	1	1
ATR26B	1	1	1
ATR2AF	1	1	1
ATR2BB	1	1	1
ATR2BJ	1	1	1
ATY255	1	1	1
ATY256	1	1	1
ATY29E	1	1	1
ATY2B7	1	1	1
ATY2B8	1	1	1
AU3005	1	1	1
AVV26K	1	1	1
AVV26M	1	1	1
AVV2A6	1	1	1
AVÅ22D	1	1	0
AVÅ22Q	1	1	0
AVÅ24F	1	1	0
AVÅ25L	1	1	0
AVÅ27J	1	1	0
AVÅ27K	1	1	0
AVÅ27L	1	1	0
AVÅ27S	1	1	0
AVÅ28C	1	1	0
AVÅ28G	1	1	0
AVÅ28H	1	1	0
AVÅ28J	1	1	0
AVÅ28K	1	1	0
AVÅ28L	1	1	0
AVÅ28P	1	1	0
AVÅ28T	1	1	0
AVÅ28U	1	1	0
AVÅ28V	1	1	0
AVÅ29X	1	1	0
AVÅ2A3	1	1	0
AVÅ2A4	1	1	0
AVÅ2A5	1	1	0
AVÅ2BH	1	1	0
BEG222	1	1	1
BFY224	1	1	1
BFY225	1	1	1
BFY226	1	1	1
BFY227	1	1	1
BKE223	1	1	1
BQ1079	1	1	1
BQ1081	1	1	1
BQ1094	1	1	1
BQ2018	1	1	1
BQ2057	1	1	1
BQ2058	1	1	1
BY1047	1	1	1
BY1053	1	1	1
BY1054	1	1	1
BY1056	1	1	1
BY1058	1	1	1
BY1059	1	1	1
BY1061	1	1	1
BY1065	1	1	1
BY2016	1	1	1
BY2022	1	1	1
BY2025	1	1	1
BY3001	1	1	1
BY3004	1	1	1
BY3005	1	1	1
DT2019	0	1	0
EG1012	1	1	1
EG2004	1	1	1
EG3003	0	1	0
EG3007	1	1	1
EG3009	1	1	1
EG3012	1	1	1
EG3014	1	1	1
EG3015	1	1	1
EG3017	1	1	1
EG3018	1	1	1
EG3019	1	1	1
EG3020	1	1	1
EG3022	1	1	1
EG4001	1	1	1
EN1086	1	1	1
EN1129	1	1	1
EN2025	1	1	1
EN2028	1	1	1
EN2033	1	1	1
EN2034	1	1	1
EN2035	1	1	1
EN2037	1	1	1
EN2043	1	1	1
EN2046	1	1	1
EN2047	1	1	1
EN3029	1	1	1
EN3062	1	1	1
EN3063	1	1	1
EN3064	1	1	1
EN3070	1	1	1
EN3071	1	1	1
EN3072	1	1	1
EN3073	1	1	1
EN3074	1	1	1
EN3075	1	1	1
EN3076	1	1	1
EN3077	1	1	1
ET1029	1	1	1
EU1027	1	1	1
EU1033	1	1	1
EU1034	1	1	1
EU1035	1	1	1
EU1036	1	1	1
EU1037	1	1	1
FDA222R	1	1	0
FDA222S	1	1	0
FDA222T	1	1	0
FDA222U	1	1	0
FEB222K	1	1	0
FEB222L	1	1	0
FEB222M	1	1	0
FEB222P	1	1	0
FEB222Q	1	1	0
FHV0001	1	1	0
FHV0002	1	1	0
FHV0003	1	1	0
FI1023	1	1	1
FI1024	1	1	1
FI1026	1	1	1
FI1028	1	1	1
FI1029	1	1	1
FI1030	1	1	1
FI1031	1	1	1
FI1033	1	1	1
FI1034	1	1	1
FI1035	1	1	1
FI1036	1	1	1
FI1037	1	1	1
FI1038	1	1	1
