kurskod,kursnamn,institution,amne,i_dalarna_excel_kurser,i_dalarna_excel_forskar,i_blomma_json,i_vault_aktiva,i_vault_nedlagda,kategori
KG2001,Kulturgeografisk teori och metod,IKS,KGA,1,0,1,1,0,triangulerad
KG2002,,,,0,0,0,0,1,enbart_nedlagd
KG2003,Examensarbete för kandidatexamen i kulturgeografi,IKS,KGA,1,0,1,1,0,triangulerad
KG2004,,,,0,0,0,0,1,enbart_nedlagd
KG2005,Kulturgeografisk teori och metod,IKS,KGA,1,0,1,1,0,triangulerad
KG3001,,,,0,0,0,0,1,enbart_nedlagd
KG3002,,,,0,0,0,0,1,enbart_nedlagd
KG3003,,,,0,0,0,0,1,enbart_nedlagd
KG3004,,,,0,0,0,0,1,enbart_nedlagd
KG3006,,,,0,0,0,0,1,enbart_nedlagd
KG3007,,,,0,0,0,0,1,enbart_nedlagd
KG3008,,,,0,0,0,0,1,enbart_nedlagd
KG3009,,,,0,0,0,0,1,enbart_nedlagd
KG3010,Geografiska perspektiv på kulturarvet i upplevelseindustrin,IKS,KGA,1,0,1,1,0,triangulerad
KG3011,Rumsliga data och GIS,IKS,KGA,1,0,1,1,0,triangulerad
KG3012,,,,0,0,0,0,1,enbart_nedlagd
KG3013,,,,0,0,0,0,1,enbart_nedlagd
KG3014,Examensarbete för Magisterexamen i kulturgeografi,IKS,KGA,1,0,1,1,0,triangulerad
KG3015,Examensarbete för Magisterexamen i kulturgeografi,IKS,KGA,1,0,1,1,0,triangulerad
