kurskod,kursnamn,institution,amne,i_dalarna_excel_kurser,i_dalarna_excel_forskar,i_blomma_json,i_vault_aktiva,i_vault_nedlagda,kategori
IK1039,,,,0,0,0,0,1,enbart_nedlagd
IK1040,,,,0,0,0,0,1,enbart_nedlagd
IK1041,,,,0,0,0,0,1,enbart_nedlagd
IK1042,,,,0,0,0,0,1,enbart_nedlagd
IK1043,,,,0,0,0,0,1,enbart_nedlagd
IK1044,,,,0,0,1,0,1,blomma_historik_arkiverad
IK1045,,,,0,0,0,0,1,enbart_nedlagd
IK1046,,,,0,0,0,0,1,enbart_nedlagd
IK1047,,,,0,0,0,0,1,enbart_nedlagd
IK1048,,,,0,0,0,0,1,enbart_nedlagd
IK1049,,,,0,0,0,0,1,enbart_nedlagd
IK1050,,,,0,0,0,0,1,enbart_nedlagd
IK1051,,,,0,0,0,0,1,enbart_nedlagd
IK1052,,,,0,0,0,0,1,enbart_nedlagd
IK1053,,,,0,0,0,0,1,enbart_nedlagd
IK1054,,,,0,0,0,0,1,enbart_nedlagd
IK1055,,,,0,0,0,0,1,enbart_nedlagd
IK1056,,,,0,0,0,0,1,enbart_nedlagd
IK1057,,,,0,0,0,0,1,enbart_nedlagd
IK1058,,,,0,0,0,0,1,enbart_nedlagd
IK1059,,,,0,0,0,0,1,enbart_nedlagd
IK1060,,,,0,0,0,0,1,enbart_nedlagd
IK1061,,,,0,0,0,0,1,enbart_nedlagd
IK1062,,,,0,0,0,0,1,enbart_nedlagd
IK1063,,,,0,0,0,0,1,enbart_nedlagd
IK1064,Datahantering och Problemlösning,IIT,IKA,1,0,1,1,0,triangulerad
IK1065,,,,0,0,0,0,1,enbart_nedlagd
IK1066,Förändringsanalys,IIT,IKA,1,0,1,1,0,triangulerad
IK1067,,,,0,0,0,0,1,enbart_nedlagd
IK1068,,,,0,0,0,0,1,enbart_nedlagd
IK1069,,,,0,0,0,0,1,enbart_nedlagd
IK1070,,,,0,0,0,0,1,enbart_nedlagd
IK1071,,,,0,0,0,0,1,enbart_nedlagd
IK1072,,,,0,0,0,0,1,enbart_nedlagd
IK1073,,,,0,0,0,0,1,enbart_nedlagd
IK1074,,,,0,0,0,0,1,enbart_nedlagd
IK1075,,,,0,0,0,0,1,enbart_nedlagd
IK1076,,,,0,0,0,0,1,enbart_nedlagd
IK1077,,,,0,0,0,0,1,enbart_nedlagd
IK1078,,,,0,0,0,0,1,enbart_nedlagd
IK1079,,,,0,0,0,0,1,enbart_nedlagd
IK1080,,,,0,0,0,0,1,enbart_nedlagd
IK1081,,,,0,0,0,0,1,enbart_nedlagd
IK1082,,,,0,0,0,0,1,enbart_nedlagd
IK1083,,,,0,0,0,0,1,enbart_nedlagd
IK1084,,,,0,0,0,0,1,enbart_nedlagd
IK1085,,,,0,0,0,0,1,enbart_nedlagd
IK1086,,,,0,0,0,0,1,enbart_nedlagd
IK1087,,,,0,0,0,0,1,enbart_nedlagd
IK1088,,,,0,0,0,0,1,enbart_nedlagd
IK1089,,,,0,0,0,0,1,enbart_nedlagd
IK1090,,,,0,0,0,0,1,enbart_nedlagd
IK1091,,,,0,0,0,0,1,enbart_nedlagd
IK1092,,,,0,0,0,0,1,enbart_nedlagd
IK1093,,,,0,0,0,0,1,enbart_nedlagd
IK1094,,,,0,0,0,0,1,enbart_nedlagd
IK1095,,,,0,0,0,0,1,enbart_nedlagd
IK1096,,,,0,0,0,0,1,enbart_nedlagd
IK1097,,,,0,0,0,0,1,enbart_nedlagd
IK1098,,,,0,0,0,0,1,enbart_nedlagd
IK1099,,,,0,0,0,0,1,enbart_nedlagd
IK1100,,,,0,0,0,0,1,enbart_nedlagd
IK1101,,,,0,0,0,0,1,enbart_nedlagd
IK2001,,,,0,0,0,0,1,enbart_nedlagd
IK2002,,,,0,0,0,0,1,enbart_nedlagd
IK2003,,,,0,0,0,0,1,enbart_nedlagd
IK2004,,,,0,0,0,0,1,enbart_nedlagd
IK2005,,,,0,0,0,0,1,enbart_nedlagd
IK2006,,,,0,0,0,0,1,enbart_nedlagd
IK2007,,,,0,0,0,0,1,enbart_nedlagd
IK2008,,,,0,0,0,0,1,enbart_nedlagd
IK2009,,,,0,0,0,0,1,enbart_nedlagd
IK2010,,,,0,0,0,0,1,enbart_nedlagd
IK2011,,,,0,0,0,0,1,enbart_nedlagd
IK2012,,,,0,0,0,0,1,enbart_nedlagd
IK2013,,,,0,0,0,0,1,enbart_nedlagd
IK2014,,,,0,0,0,0,1,enbart_nedlagd
IK2015,,,,0,0,0,0,1,enbart_nedlagd
IK2016,,,,0,0,0,0,1,enbart_nedlagd
IK2017,,,,0,0,0,0,1,enbart_nedlagd
IK2018,,,,0,0,0,0,1,enbart_nedlagd
IK2019,,,,0,0,0,0,1,enbart_nedlagd
IK2020,,,,0,0,0,0,1,enbart_nedlagd
IK3001,,,,0,0,0,0,1,enbart_nedlagd
IK3002,,,,0,0,0,0,1,enbart_nedlagd
IK3003,,,,0,0,0,0,1,enbart_nedlagd
IKA022,,,,0,0,0,0,1,enbart_nedlagd
IKA029,,,,0,0,0,0,1,enbart_nedlagd
IKA033,,,,0,0,0,0,1,enbart_nedlagd
IKA035,,,,0,0,0,0,1,enbart_nedlagd
IKA036,,,,0,0,0,0,1,enbart_nedlagd
IKA039,,,,0,0,0,0,1,enbart_nedlagd
IKA041,,,,0,0,0,0,1,enbart_nedlagd
IKA042,,,,0,0,0,0,1,enbart_nedlagd
IKA045,,,,0,0,0,0,1,enbart_nedlagd
IKA047,,,,0,0,0,0,1,enbart_nedlagd
IKA048,,,,0,0,0,0,1,enbart_nedlagd
