Utbildningsområde per kurs (Ladok);;;;;;
Uppdaterad tisdag 3 mars 2026;;;;;;
Kurskod;Kursnamn;HP;Utbildningsområde;UtbOmrKod;Andel (%);Giltig fr.o.m.
GBY34N;Examensarbete i byggteknik för högskoleingenjörsexamen;15;Tekniska området;TE;100;VT2023
GBY36S;En introduktion till byggprocessen;5;Tekniska området;TE;100;HT2023
GBY37D;Byggstatik och hållfasthetslära;7,5;Tekniska området;TE;100;HT2023
GBY38D;Geoteknik och konstruktionsteknik betong;7,5;Tekniska området;TE;100;HT2023
GBY38E;Installationsteknik och dimensionering;7,5;Tekniska området;TE;100;HT2023
GBY3AX;Husbyggnadsprojekt III - Byggkonstruktionsprojekt;7,5;Tekniska området;TE;100;VT2024
GBY3DW;Resurseffektivt byggande;7,5;Tekniska området;TE;100;HT2024
GBY3DX;Väg- och trafikplanering;7,5;Tekniska området;TE;100;HT2024
GDT2JM;Datakommunikation 1;7,5;Tekniska området;TE;100;HT2020
GDT2JN;Datakommunikation 2;7,5;Tekniska området;TE;100;HT2020
GDT34Z;Nätverkssäkerhet och systemadministration;7,5;Tekniska området;TE;100;HT2023
GDT3CR;Etisk hackning;7,5;Tekniska området;TE;100;HT2024
GEG26J;Vetenskaplig kommunikation;2,5;Tekniska området;TE;100;VT2019
GEG2JP;Utvecklingsprojekt, tillverkning av en solfångare;7,5;Tekniska området;TE;100;HT2020
GEG2UE;Energieffektivisering;7,5;Tekniska området;TE;100;VT2022
GEG2UL;Förnybar kraftgenerering;7,5;Tekniska området;TE;100;VT2022
GEG2ZQ;Solenergi;7,5;Tekniska området;TE;100;HT2022
GEG2ZR;Introduktion till hållbara energisystem;4,5;Tekniska området;TE;100;HT2022
GEG33A;Installation av solcellssystem;5;Tekniska området;TE;100;VT2023
GEG33B;Installation av solcellsanläggningar;7,5;Tekniska området;TE;100;VT2023
GEG38F;Grundläggande energiteknik;4,5;Tekniska området;TE;100;HT2023
GEG39Y;Elkraftteknik;7,5;Tekniska området;TE;100;VT2024
GEG39Z;Aktiva elnät;7,5;Tekniska området;TE;100;VT2024
GEG3A2;Solel (grundnivå);7,5;Tekniska området;TE;100;VT2024
GEG3BX;Elektriska maskiner;7,5;Tekniska området;TE;100;HT2024
GEG3DT;Hållbara energisystem;7,5;Tekniska området;TE;100;HT2024
GEG3DU;Kraftvärmesystem;7,5;Tekniska området;TE;100;HT2024
GEG3DV;Förnybar Energiteknik;7,5;Tekniska området;TE;100;HT2024
GEG3FM;Vetenskaplig metodik och kommunikation;7,5;Tekniska området;TE;100;VT2025
GEG3FY;Praktik inom energiteknik;15;Tekniska området;TE;100;VT2025
GEN222;Engelska för lärare, 45 hp (1-45 hp), åk 7-9 - ingår i Lärarlyftet II;45;Humanistiska området;HU;100;VT2018
GEN28Q;Engelska III med didaktisk inriktning för gymnasieskolan;30;Humanistiska området;HU;75;VT2019
GEN28Q;Engelska III med didaktisk inriktning för gymnasieskolan;30;Undervisningsområdet;LU;25;VT2019
GEN2BJ;Engelska för grundlärare F-3;15;Humanistiska området;HU;25;HT2019
GEN2BJ;Engelska för grundlärare F-3;15;Undervisningsområdet;LU;75;HT2019
GEN2BK;Engelska för grundlärare åk 4-6, 1A;15;Humanistiska området;HU;50;HT2019
GEN2BK;Engelska för grundlärare åk 4-6, 1A;15;Undervisningsområdet;LU;50;HT2019
GEN2HB;Engelska för internationellt företagande: kommunikation och kultur;7,5;Humanistiska området;HU;100;HT2020
GEN2JG;Engelska, Språkdidaktik l;6;Humanistiska området;HU;75;HT2020
GEN2JG;Engelska, Språkdidaktik l;6;Undervisningsområdet;LU;25;HT2020
GEN2LD;Engelska för grundlärare åk 4-6, 1B;15;Humanistiska området;HU;50;HT2020
GEN2LD;Engelska för grundlärare åk 4-6, 1B;15;Undervisningsområdet;LU;50;HT2020
GEN2QW;Engelska, Språkdidaktik l;7,5;Humanistiska området;HU;75;HT2021
GEN2QW;Engelska, Språkdidaktik l;7,5;Undervisningsområdet;LU;25;HT2021
GEN2RZ;Engelska för specifika ändamål: Presentationer i akademiska och professionella sammanhang;7,5;Humanistiska området;HU;100;HT2021
GEN2S2;Engelska för specifika ändamål: Muntlig kommunikation på interkulturella arbetsplatser;7,5;Humanistiska området;HU;100;HT2021
GEN2VE;Engelskspråkig litteratur;12;Humanistiska området;HU;100;VT2022
GEN2VF;Den moderna engelskans struktur;12;Humanistiska området;HU;100;VT2022
GEN33R;Engelskspråkig barn- och ungdomslitteratur;7,5;Humanistiska området;HU;100;VT2023
GEN35D;Introduktion till akademisk engelska;6;Humanistiska området;HU;100;HT2023
GEN35G;Engelsk språkdidaktik;7,5;Humanistiska området;HU;75;HT2023
GEN35G;Engelsk språkdidaktik;7,5;Undervisningsområdet;LU;25;HT2023
GEN379;Engelska I med didaktisk inriktning;30;Humanistiska området;HU;75;HT2023
GEN379;Engelska I med didaktisk inriktning;30;Undervisningsområdet;LU;25;HT2023
GEN37A;Engelska I;30;Humanistiska området;HU;100;HT2023
GEN3BQ;Teman inom populärlitteraturen;7,5;Humanistiska området;HU;100;HT2024
GEN3BR;Kulturella texter och kontexter;7,5;Humanistiska området;HU;100;HT2024
GEN3C5;Engelskspråkig litteratur;12;Humanistiska området;HU;100;HT2024
GEN3CM;Engelska II med didaktisk inriktning;30;Humanistiska området;HU;75;HT2024
GEN3CM;Engelska II med didaktisk inriktning;30;Undervisningsområdet;LU;25;HT2024
GEN3DG;Engelska II;30;Humanistiska området;HU;100;HT2024
GEN3DH;Engelska: Introduktion till litteraturkritikens teorier och metoder;7,5;Humanistiska området;HU;100;HT2024
GEN3DJ;Den samtida Bildungsromanen på engelska: Kvinnliga, etniska och åldrandeperspektiv;7,5;Humanistiska området;HU;100;HT2024
GEN3DK;Engelska III: Fokus litteratur;30;Humanistiska området;HU;100;HT2024
GEN3E6;Introduktion till engelsk lingvistik;15;Humanistiska området;HU;100;VT2025
GEN3E7;Brittisk och amerikansk litteratur- och idéhistoria;15;Humanistiska området;HU;100;VT2025
GET36T;Ellära;7,5;Tekniska området;TE;100;HT2023
GEU2CA;Det entreprenöriella företagets förutsättningar;7,5;Tekniska området;TE;100;HT2019
GEU2CB;Ledarskap och grupprocesser;7,5;Tekniska området;TE;100;HT2019
GEU2KV;Entreprenörskap i regional utveckling och tillväxt;7,5;Tekniska området;TE;100;HT2020
GEU2KW;Entreprenörskapets teoretiska klassiker;7,5;Tekniska området;TE;100;HT2020
GEU2KX;Innovation A;7,5;Tekniska området;TE;100;HT2020
GEU2QY;Ledarskap;5;Tekniska området;TE;100;HT2021
GEU35L;Projektledning I;7,5;Tekniska området;TE;100;HT2023
GEU35M;Entreprenörskap - villkor och särart;7,5;Tekniska området;TE;100;HT2023
GEU35N;Projektledning II;7,5;Tekniska området;TE;100;HT2023
GEU38C;Innovation;7,5;Tekniska området;TE;100;HT2023
GEU3DB;Kreativitet för entreprenörer och företag;7,5;Samhällsvetenskapliga området;SA;80;HT2024
GEU3DB;Kreativitet för entreprenörer och företag;7,5;Tekniska området;TE;20;HT2024
GFI282;Vetenskapligt tänkande och skrivande;7,5;Humanistiska området;HU;100;VT2019
GFI293;Samhällsvetenskapernas vetenskapsteori;7,5;Humanistiska området;HU;100;VT2019
GFI37Z;Gud och bevisen: filosofiska argument för och mot Guds existens;7,5;Humanistiska området;HU;100;HT2023
GFI3BT;Introduktion till hermeneutiken;7,5;Humanistiska området;HU;100;VT2024
GFI3BU;Introduktion till existentialismen;7,5;Humanistiska området;HU;100;VT2024
GFR27N;Franska: Skriftlig språkfärdighet II;7,5;Humanistiska området;HU;100;VT2019
GFR27Q;Franska II: Introduktion till lingvistik och akademiskt skrivande;7,5;Humanistiska området;HU;100;VT2019
GFR27R;Franskspråkig litteratur II: Fram till 1900;7,5;Humanistiska området;HU;100;VT2019
GFR27S;Franska med inriktning arbetsliv;7,5;Humanistiska området;HU;100;VT2019
GFR283;Litteratur och kultur i Maghrebregionen;7,5;Humanistiska området;HU;100;VT2019
GFR2A7;Franska I: Muntlig språkfärdighet;7,5;Humanistiska området;HU;100;HT2019
GFR2A8;Franska: Skriftlig språkfärdighet I;7,5;Humanistiska området;HU;100;HT2019
GFR2AB;Franskspråkig litteratur I: Från 1900 till idag;7,5;Humanistiska området;HU;100;HT2019
GFR2HW;Franska: Förberedande kurs I;7,5;Humanistiska området;HU;100;HT2020
GFR2HX;Franska: Förberedande kurs II;7,5;Humanistiska området;HU;100;HT2020
GFR2HY;Franska: Förberedande kurs III;7,5;Humanistiska området;HU;100;HT2020
GFR2HZ;Franska: Förberedande kurs IV;7,5;Humanistiska området;HU;100;HT2020
GFR2KQ;Franska III: Språkhistoria;7,5;Humanistiska området;HU;100;HT2020
GFR2KR;Franska: Examensarbete för kandidatexamen;15;Humanistiska området;HU;100;HT2020
GFR2R3;Franska II: Muntlig franska;7,5;Humanistiska området;HU;100;HT2021
GFR2R4;Franska II med didaktisk inriktning;30;Humanistiska området;HU;75;HT2021
GFR2R4;Franska II med didaktisk inriktning;30;Undervisningsområdet;LU;25;HT2021
GFR2W9;Franska: Språkdidaktik I;6;Humanistiska området;HU;75;VT2022
GFR2W9;Franska: Språkdidaktik I;6;Undervisningsområdet;LU;25;VT2022
GFR2WA;Franska I med didaktisk inriktning;30;Humanistiska området;HU;75;VT2022
GFR2WA;Franska I med didaktisk inriktning;30;Undervisningsområdet;LU;25;VT2022
GFR2YU;Franska: Språkdidaktik II;6;Humanistiska området;HU;75;HT2022
GFR2YU;Franska: Språkdidaktik II;6;Undervisningsområdet;LU;25;HT2022
GFR35E;Franska I: Kultur och samhälle;7,5;Humanistiska området;HU;100;HT2023
GFR35F;Franska III: Franskspråkig litteratur och litteraturanalys;7,5;Humanistiska området;HU;100;HT2023
GFR3BS;Franska III med didaktisk inriktning för gymnasieskolan;30;Humanistiska området;HU;75;HT2024
GFR3BS;Franska III med didaktisk inriktning för gymnasieskolan;30;Undervisningsområdet;LU;25;HT2024
GFR3CV;Franska II: Muntlig franska;7,5;Humanistiska området;HU;100;HT2024
GFR3CW;Franska: Skriftlig språkfärdighet II;7,5;Humanistiska området;HU;100;HT2024
GFR3CX;Franskspråkig litteratur II: Fram till 1900;7,5;Humanistiska området;HU;100;HT2024
GFR3CY;Franska II: Introduktion till lingvistik och akademiskt skrivande;7,5;Humanistiska området;HU;100;HT2024
GFR3CZ;Franska III: Examensarbete för kandidatexamen;15;Humanistiska området;HU;100;HT2024
GFR3D2;Franska I med didaktisk inriktning;30;Humanistiska området;HU;75;HT2024
GFR3D2;Franska I med didaktisk inriktning;30;Undervisningsområdet;LU;25;HT2024
GFR3D3;Franska II med didaktisk inriktning;30;Humanistiska området;HU;75;HT2024
GFR3D3;Franska II med didaktisk inriktning;30;Undervisningsområdet;LU;25;HT2024
GFR3DL;Franska för lärare i gymnasieskolan, 90 hp (1-90 hp). Ingår i Lärarlyftet;90;Humanistiska området;HU;100;HT2024
GFR3GS;Franska III: Språkhistoria;7,5;Humanistiska området;HU;100;HT2025
GFR3GT;Franska III: Franskspråkig litteratur och litteraturanalys;7,5;Humanistiska området;HU;100;HT2025
GFR3HK;Franska: Språkdidaktik I;7,5;Humanistiska området;HU;100;HT2025
GFR3HL;Franska: Språkdidaktik II;7,5;Humanistiska området;HU;100;HT2025
GFR3HM;Franska I med didaktisk inriktning;30;Humanistiska området;HU;100;HT2025
GFR3HN;Franska II med didaktisk inriktning;30;Humanistiska området;HU;100;HT2025
GFY345;Fysik för tekniker;7,5;Naturvetenskapliga området;NA;100;HT2023
GFÖ225;Koncernredovisning och revision;7,5;Samhällsvetenskapliga området;SA;100;HT2018
GFÖ2B7;Vetenskap och metod II;7,5;Samhällsvetenskapliga området;SA;100;HT2019
GFÖ2B9;Ledarskap och organisationsbeteende;7,5;Samhällsvetenskapliga området;SA;100;HT2019
GFÖ2F4;Organisation och marknadsföring A;15;Samhällsvetenskapliga området;SA;100;VT2020
GFÖ2FF;Vetenskap och metod I;7,5;Samhällsvetenskapliga området;SA;100;VT2020
GFÖ2JU;Förvaltningsekonomi;7,5;Samhällsvetenskapliga området;SA;100;HT2020
GFÖ2PJ;Ekonomistyrning A;7,5;Samhällsvetenskapliga området;SA;100;VT2021
GFÖ2RL;Organisation A;7,5;Samhällsvetenskapliga området;SA;100;HT2021
GFÖ2UF;Hållbar företagsstrategi;7,5;Samhällsvetenskapliga området;SA;100;VT2022
GFÖ2WE;Extern redovisning A;7,5;Samhällsvetenskapliga området;SA;100;VT2022
GFÖ2WN;Redovisning B;7,5;Samhällsvetenskapliga området;SA;100;HT2022
GFÖ2WQ;Examensarbete för kandidatexamen i företagsekonomi;15;Samhällsvetenskapliga området;SA;100;HT2022
GFÖ2XB;Företagsekonomi C;7,5;Samhällsvetenskapliga området;SA;100;HT2022
GFÖ2XW;Ekonomistyrning B;7,5;Samhällsvetenskapliga området;SA;100;HT2022
GFÖ32F;Marknadsföring A;7,5;Samhällsvetenskapliga området;SA;100;VT2023
GFÖ32P;Organisationsteori;7,5;Samhällsvetenskapliga området;SA;100;VT2023
GFÖ35C;Ekonomistyrning, grundläggande;7,5;Samhällsvetenskapliga området;SA;100;HT2023
GFÖ35J;Turismmarknadsföring;7,5;Samhällsvetenskapliga området;SA;100;HT2023
GFÖ36L;Kommunikation i en interkulturell affärsmiljö;7,5;Samhällsvetenskapliga området;SA;100;HT2023
GFÖ38U;Organisation B;7,5;Samhällsvetenskapliga området;SA;100;HT2023
GFÖ398;Redovisning B;7,5;Samhällsvetenskapliga området;SA;100;HT2023
GFÖ39A;Sport Management III;7,5;Samhällsvetenskapliga området;SA;100;HT2023
GFÖ39J;Marknadsföring B;7,5;Samhällsvetenskapliga området;SA;100;HT2023
GFÖ3FH;Sport Management I;7,5;Samhällsvetenskapliga området;SA;100;VT2025
GFÖ3FJ;Sport Management II;7,5;Samhällsvetenskapliga området;SA;100;VT2025
GFÖ3GL;Vetenskap och metod I;7,5;Samhällsvetenskapliga området;SA;100;HT2025
GHI29Y;Historia III med didaktisk inriktning för gymnasieskolan;30;Humanistiska området;HU;75;HT2019
GHI29Y;Historia III med didaktisk inriktning för gymnasieskolan;30;Undervisningsområdet;LU;25;HT2019
GHI2CK;Introduktion till svensk kultur och samhälle;7,5;Humanistiska området;HU;100;VT2020
GHI2CN;Historia I;30;Humanistiska området;HU;100;VT2020
GHI2CP;Historia I med didaktisk inriktning;30;Humanistiska området;HU;75;VT2020
GHI2CP;Historia I med didaktisk inriktning;30;Undervisningsområdet;LU;25;VT2020
GHI2CQ;Historia II;30;Humanistiska området;HU;100;VT2020
GHI2CR;Historia II med didaktisk inriktning;30;Humanistiska området;HU;75;VT2020
GHI2CR;Historia II med didaktisk inriktning;30;Undervisningsområdet;LU;25;VT2020
GHI2FU;Introduktion till afrikastudier;7,5;Humanistiska området;HU;100;VT2020
GHI2Q6;Introduktion till Afrikas moderna historia;7,5;Humanistiska området;HU;100;VT2021
GHI32G;Historia II med didaktisk inriktning;30;Humanistiska området;HU;75;VT2023
GHI32G;Historia II med didaktisk inriktning;30;Undervisningsområdet;LU;25;VT2023
GHI33T;Historia II;30;Humanistiska området;HU;100;VT2023
GHI33V;Historia I;30;Humanistiska området;HU;100;VT2023
GHI33W;Historia I med didaktisk inriktning;30;Humanistiska området;HU;75;VT2023
GHI33W;Historia I med didaktisk inriktning;30;Undervisningsområdet;LU;25;VT2023
GHI35A;Historia III med didaktisk inriktning för gymnasieskolan;30;Humanistiska området;HU;75;HT2023
GHI35A;Historia III med didaktisk inriktning för gymnasieskolan;30;Undervisningsområdet;LU;25;HT2023
GHI362;Historia III, med examensarbete för kandidatexamen;30;Humanistiska området;HU;100;HT2023
GHI374;Historia II med didaktisk inriktning för gymnasieskolan;30;Humanistiska området;HU;75;HT2023
GHI374;Historia II med didaktisk inriktning för gymnasieskolan;30;Undervisningsområdet;LU;25;HT2023
GHI378;Historia II med didaktisk inriktning för grundskolans årskurs 7-9;30;Humanistiska området;HU;75;HT2023
GHI378;Historia II med didaktisk inriktning för grundskolans årskurs 7-9;30;Undervisningsområdet;LU;25;HT2023
GHI37M;De nationella minoriteternas samhällshistoria;7,5;Humanistiska området;HU;100;HT2023
GHI38Q;Global miljöhistoria;7,5;Humanistiska området;HU;100;HT2023
GHI3CP;Undervisning och lärande genom rollspel  inriktning historiedidaktik;7,5;Humanistiska området;HU;100;HT2024
GIE26L;Industriell ekonomi - logistik och Supply Chain Management;7,5;Tekniska området;TE;100;VT2019
GIE26M;Industriell ekonomi - organisation och ledarskap;7,5;Tekniska området;TE;100;VT2019
GIE26N;Industriell ekonomi - underhåll och kvalitet;7,5;Tekniska området;TE;100;VT2019
GIE26P;Industriell ekonomi - grundläggande kurs;7,5;Tekniska området;TE;100;VT2019
GIE29N;Industriell ekonomi - Processer och projektledning;7,5;Tekniska området;TE;100;HT2019
GIE2L7;Lean;7,5;Tekniska området;TE;100;HT2020
GIE2MF;Industriell ekonomi - Verksamhetsstyrning;7,5;Tekniska området;TE;100;VT2021
GIE2QS;Verksamhetsutveckling;7,5;Tekniska området;TE;100;HT2021
GIE2RF;Examensarbete för högskoleexamen i Industriell ekonomi;7,5;Tekniska området;TE;100;HT2021
GIE36Y;Cirkulär ekonomi och hållbar utveckling;7,5;Tekniska området;TE;100;HT2023
GIE36Z;Industriell ekonomi - Verksamhetsstyrning;7,5;Tekniska området;TE;100;HT2023
GIE372;Industriella affärsprocesser;7,5;Tekniska området;TE;100;HT2023
GIE3FW;Industriell marknadsföring;7,5;Tekniska området;TE;100;VT2025
GIE3H2;Industriell ekonomi - grundläggande kurs;7,5;Tekniska området;TE;100;HT2025
GIE3HX;Projektledning I;7,5;Tekniska området;TE;100;VT2026
GIE3HY;Innovation;7,5;Tekniska området;TE;100;VT2026
GIE3JG;Impact innovation - innovation för samhällsnytta;7,5;Tekniska området;TE;100;VT2026
GIE3JH;Strategi och ekosystem;7,5;Tekniska området;TE;100;VT2026
GIH24A;Medier och kommunikation inom hälsa och idrott;7,5;Medicinska området;ME;50;HT2018
GIH24A;Medier och kommunikation inom hälsa och idrott;7,5;Samhällsvetenskapliga området;SA;50;HT2018
GIH2A6;Idrottspsykologi;7,5;Medicinska området;ME;50;HT2019
GIH2A6;Idrottspsykologi;7,5;Samhällsvetenskapliga området;SA;50;HT2019
GIH2D4;Grundläggande judohistoria, judo i samhället och judodidaktik;15;Medicinska området;ME;50;VT2020
GIH2D4;Grundläggande judohistoria, judo i samhället och judodidaktik;15;Samhällsvetenskapliga området;SA;50;VT2020
GIH2D5;Grundläggande styrkelyftsdidaktik;15;Medicinska området;ME;50;VT2020
GIH2D5;Grundläggande styrkelyftsdidaktik;15;Samhällsvetenskapliga området;SA;50;VT2020
GIH2D6;Grundläggande fysiologi och tillämpad idrottsfysiologi (Judo);5;Medicinska området;ME;50;VT2020
GIH2D6;Grundläggande fysiologi och tillämpad idrottsfysiologi (Judo);5;Samhällsvetenskapliga området;SA;50;VT2020
GIH2D7;Grundläggande fysiologi och tillämpad idrottsfysiologi (Styrkelyft);5;Medicinska området;ME;50;VT2020
GIH2D7;Grundläggande fysiologi och tillämpad idrottsfysiologi (Styrkelyft);5;Samhällsvetenskapliga området;SA;50;VT2020
GIH2D8;Judons tränarskap;2;Medicinska området;ME;50;VT2020
GIH2D8;Judons tränarskap;2;Samhällsvetenskapliga området;SA;50;VT2020
GIH2D9;Styrkelyftets tränarskap;2;Medicinska området;ME;50;VT2020
GIH2D9;Styrkelyftets tränarskap;2;Samhällsvetenskapliga området;SA;50;VT2020
GIH2DB;Biomekanik (Judo);5;Medicinska området;ME;50;VT2020
GIH2DB;Biomekanik (Judo);5;Samhällsvetenskapliga området;SA;50;VT2020
GIH2DC;Biomekanik (Styrkelyft);5;Medicinska området;ME;50;VT2020
GIH2DC;Biomekanik (Styrkelyft);5;Samhällsvetenskapliga området;SA;50;VT2020
GIH2DD;Funktionell anatomi (Judo);3;Medicinska området;ME;50;VT2020
GIH2DD;Funktionell anatomi (Judo);3;Samhällsvetenskapliga området;SA;50;VT2020
GIH2DE;Funktionell anatomi (Styrkelyft);3;Medicinska området;ME;50;VT2020
GIH2DE;Funktionell anatomi (Styrkelyft);3;Samhällsvetenskapliga området;SA;50;VT2020
GIH2G4;Tillämpad rörelse- och prestationsanalys;15;Medicinska området;ME;50;VT2020
GIH2G4;Tillämpad rörelse- och prestationsanalys;15;Samhällsvetenskapliga området;SA;50;VT2020
GIH2LP;Tränarskap, idrott, friluftsliv och hälsa i samhället;7,5;Medicinska området;ME;50;VT2021
GIH2LP;Tränarskap, idrott, friluftsliv och hälsa i samhället;7,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2LT;Idrottspedagogik (judo);2,5;Medicinska området;ME;50;VT2021
GIH2LT;Idrottspedagogik (judo);2,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2LU;Idrottspedagogik (styrkelyft);2,5;Medicinska området;ME;50;VT2021
GIH2LU;Idrottspedagogik (styrkelyft);2,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2LV;Tränings- och tävlingslära (judo);7,5;Medicinska området;ME;50;VT2021
GIH2LV;Tränings- och tävlingslära (judo);7,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2LW;Tränings- och tävlingslära (styrkelyft);7,5;Medicinska området;ME;50;VT2021
GIH2LW;Tränings- och tävlingslära (styrkelyft);7,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2LX;Motorisk kontroll och lärande (judo);5;Medicinska området;ME;50;VT2021
GIH2LX;Motorisk kontroll och lärande (judo);5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2LY;Motorisk kontroll och lärande (styrkelyft);5;Medicinska området;ME;50;VT2021
GIH2LY;Motorisk kontroll och lärande (styrkelyft);5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2M4;Motorisk kontroll och lärande (Klättring);5;Medicinska området;ME;50;VT2021
GIH2M4;Motorisk kontroll och lärande (Klättring);5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2M5;Tränings- och tävlingslära (Klättring);7,5;Medicinska området;ME;50;VT2021
GIH2M5;Tränings- och tävlingslära (Klättring);7,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2M6;Idrottspedagogik (klättring);2,5;Medicinska området;ME;50;VT2021
GIH2M6;Idrottspedagogik (klättring);2,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2NR;Grundläggande funktionell anatomi, biomekanik och rörelseanalys;7,5;Medicinska området;ME;50;VT2021
GIH2NR;Grundläggande funktionell anatomi, biomekanik och rörelseanalys;7,5;Samhällsvetenskapliga området;SA;50;VT2021
GIH2QK;Tillämpad anatomi och idrottsfysiologi;15;Medicinska området;ME;50;HT2021
GIH2QK;Tillämpad anatomi och idrottsfysiologi;15;Samhällsvetenskapliga området;SA;50;HT2021
GIH2QL;Motorisk kontroll, lärande och utveckling med didaktisk inriktning;15;Medicinska området;ME;50;HT2021
GIH2QL;Motorisk kontroll, lärande och utveckling med didaktisk inriktning;15;Samhällsvetenskapliga området;SA;50;HT2021
GIH2UR;Grundläggande vetenskaplig metod;7,5;Medicinska området;ME;50;VT2022
GIH2UR;Grundläggande vetenskaplig metod;7,5;Samhällsvetenskapliga området;SA;50;VT2022
GIH2UY;Näringslära med inriktning mot idrott och fysisk aktivitet;7,5;Medicinska området;ME;50;VT2022
GIH2UY;Näringslära med inriktning mot idrott och fysisk aktivitet;7,5;Samhällsvetenskapliga området;SA;50;VT2022
GIH2VJ;Idrottsmedicin;7,5;Medicinska området;ME;50;VT2022
GIH2VJ;Idrottsmedicin;7,5;Samhällsvetenskapliga området;SA;50;VT2022
GIH2VK;Grundläggande upplevelseproduktion;7,5;Medicinska området;ME;50;VT2022
GIH2VK;Grundläggande upplevelseproduktion;7,5;Samhällsvetenskapliga området;SA;50;VT2022
GIH2WT;Fotbollstränare - inriktning barn och ungdom (6-15 år);7,5;Medicinska området;ME;50;HT2022
GIH2WT;Fotbollstränare - inriktning barn och ungdom (6-15 år);7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2WU;Fotbollstränare - inriktning senior- och elitförberedande ungdomsverksamhet;7,5;Medicinska området;ME;50;HT2022
GIH2WU;Fotbollstränare - inriktning senior- och elitförberedande ungdomsverksamhet;7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2WX;Idrotten i samhället (VAL);7,5;Medicinska området;ME;50;HT2022
GIH2WX;Idrotten i samhället (VAL);7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2WY;Friluftsliv i närmiljön: orientering, vandring, paddling (VAL);7,5;Medicinska området;ME;50;HT2022
GIH2WY;Friluftsliv i närmiljön: orientering, vandring, paddling (VAL);7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2X3;Träningslära för tävlingsinriktad idrott;15;Medicinska området;ME;50;HT2022
GIH2X3;Träningslära för tävlingsinriktad idrott;15;Samhällsvetenskapliga området;SA;50;HT2022
GIH2XY;Idrottsvetenskaplig uppsats;7,5;Medicinska området;ME;50;HT2022
GIH2XY;Idrottsvetenskaplig uppsats;7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2ZA;Vinterfriluftsliv genom skidor och skridskor (VAL);7,5;Medicinska området;ME;50;HT2022
GIH2ZA;Vinterfriluftsliv genom skidor och skridskor (VAL);7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2ZB;Hälsopedagogik (VAL);7,5;Medicinska området;ME;50;HT2022
GIH2ZB;Hälsopedagogik (VAL);7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2ZC;Humanbiologi 1 (VAL);7,5;Medicinska området;ME;50;HT2022
GIH2ZC;Humanbiologi 1 (VAL);7,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH2ZD;Simning (VAL);3;Medicinska området;ME;50;HT2022
GIH2ZD;Simning (VAL);3;Samhällsvetenskapliga området;SA;50;HT2022
GIH2ZE;Bedömning och betygssättning i idrott och hälsa (VAL);4,5;Medicinska området;ME;50;HT2022
GIH2ZE;Bedömning och betygssättning i idrott och hälsa (VAL);4,5;Samhällsvetenskapliga området;SA;50;HT2022
GIH32Z;Verksamhetsförlagt projekt inom tränarskap;7,5;Medicinska området;ME;50;VT2023
GIH32Z;Verksamhetsförlagt projekt inom tränarskap;7,5;Samhällsvetenskapliga området;SA;50;VT2023
GIH334;Sportjournalistik;5;Medicinska området;ME;50;VT2023
GIH334;Sportjournalistik;5;Samhällsvetenskapliga området;SA;50;VT2023
GIH335;Entreprenörskap inom idrott och hälsa;7,5;Medicinska området;ME;50;VT2023
GIH335;Entreprenörskap inom idrott och hälsa;7,5;Samhällsvetenskapliga området;SA;50;VT2023
GIH33J;Grundläggande fysiologi och tillämpad idrottsfysiologi (Klättring);5;Medicinska området;ME;50;VT2023
GIH33J;Grundläggande fysiologi och tillämpad idrottsfysiologi (Klättring);5;Samhällsvetenskapliga området;SA;50;VT2023
GIH33K;Funktionell anatomi (Klättring);3;Medicinska området;ME;50;VT2023
GIH33K;Funktionell anatomi (Klättring);3;Samhällsvetenskapliga området;SA;50;VT2023
GIH33P;Biomekanik (Klättring);5;Medicinska området;ME;50;VT2023
GIH33P;Biomekanik (Klättring);5;Samhällsvetenskapliga området;SA;50;VT2023
GIH34D;Kvalitativ och kvantitativ vetenskaplig metod;7,5;Medicinska området;ME;50;VT2023
GIH34D;Kvalitativ och kvantitativ vetenskaplig metod;7,5;Samhällsvetenskapliga området;SA;50;VT2023
GIH34S;Lek, dans samt mål- och nätspel (VAL);7,5;Medicinska området;ME;50;VT2023
GIH34S;Lek, dans samt mål- och nätspel (VAL);7,5;Samhällsvetenskapliga området;SA;50;VT2023
GIH34T;Humanbiologi 2 (VAL);7,5;Medicinska området;ME;50;VT2023
