Utbildningsområde per kurs (Ladok);;;;;;
Uppdaterad tisdag 3 mars 2026;;;;;;
Kurskod;Kursnamn;HP;Utbildningsområde;UtbOmrKod;Andel (%);Giltig fr.o.m.
AEN29A;Konflikt och kreativitet i engelskspråkig litteratur;7,5;Humanistiska området;HU;100;HT2023
AEN29C;Interkulturella litteraturstudier: Masterexamensarbete med inriktning engelska;30;Humanistiska området;HU;100;HT2023
AEN2BP;Introduktion till interkulturella litteraturstudier;7,5;Humanistiska området;HU;100;HT2025
AEN2BQ;Interkulturella litteraturstudier: Akademiskt skrivande;7,5;Humanistiska området;HU;100;HT2025
AEN2BR;Interkulturella litteraturstudier: Akademisk läsning;7,5;Humanistiska området;HU;100;HT2025
AEN2BS;Interkulturella litteraturstudier: Teori och metod;7,5;Humanistiska området;HU;100;HT2025
AEN2BT;Interkulturella litteraturstudier: Skönlitteratur på originalspråk;7,5;Humanistiska området;HU;100;HT2025
AEN2BU;Interkulturella litteraturstudier: Översättningsprojekt;7,5;Humanistiska området;HU;100;HT2025
AEN2BV;Interkulturella litteraturstudier: Litteratur och genus - teori och kritik;7,5;Humanistiska området;HU;100;HT2025
AEN2BW;Interkulturella litteraturstudier: Litteratur och politik i det samtida Afrika;7,5;Humanistiska området;HU;100;HT2025
AEN2BX;Världslitteraturer: Asien och Europa;7,5;Humanistiska området;HU;100;HT2025
AEN2BY;Världslitteraturer: Nord- och Sydamerika;7,5;Humanistiska området;HU;100;HT2025
AEN2BZ;Migrationslitteratur i dåtid och nutid;7,5;Humanistiska området;HU;100;HT2025
AEN2C2;Interkulturella litteraturstudier: Masterexamensarbete;30;Humanistiska området;HU;100;HT2025
AFI273;Humanvetenskapernas vetenskapsteori;7,5;Humanistiska området;HU;100;HT2021
AFR236;Den fransktalande världen: Litteratur, kultur och översättning;7,5;Humanistiska området;HU;100;HT2019
AFR24A;Examensarbete i franska för ämneslärarexamen, inriktning grundskolans årskurs 7-9;30;Humanistiska området;HU;75;VT2020
AFR24A;Examensarbete i franska för ämneslärarexamen, inriktning grundskolans årskurs 7-9;30;Undervisningsområdet;LU;25;VT2020
AFR24B;Examensarbete i franska för ämneslärarexamen, inriktning gymnasieskolan;30;Humanistiska området;HU;75;VT2020
AFR24B;Examensarbete i franska för ämneslärarexamen, inriktning gymnasieskolan;30;Undervisningsområdet;LU;25;VT2020
AFR24Z;Franska: Argumentation och retorik;7,5;Humanistiska området;HU;100;VT2020
AFR26Q;Franska IV: Franskspråkig litteraturkritik;7,5;Humanistiska området;HU;100;VT2021
AFR26R;Franska IV: Språkvetenskap med fokus på språkinlärning;7,5;Humanistiska området;HU;100;VT2021
AFR27P;Franska IV: Franskspråkig chanson i original och översättning;7,5;Humanistiska området;HU;100;HT2021
AFR298;Franska: Sociala medier ur ett diskursanalytiskt perspektiv;7,5;Humanistiska området;HU;100;HT2023
AFR29D;Interkulturella litteraturstudier: Masterexamensarbete med inriktning franska;30;Humanistiska området;HU;100;HT2023
AFR2A8;"Franska IV: Talad franska; syntax, fonetik och perception";7,5;Humanistiska området;HU;100;HT2023
AFT2C8;Forskningsmetodik och projektplan inför examensarbete för magisterexamen i fysioterapi;15;Medicinska området;ME;100;HT2025
AFT2C9;Examensarbete för magisterexamen i fysioterapi;15;Medicinska området;ME;100;HT2025
AFT2CA;Fysioterapi med fokus på långvarig smärta och hållbar utveckling;15;Medicinska området;ME;100;HT2025
AFT2CB;Fysisk aktivitet som prevention och behandling;15;Medicinska området;ME;100;HT2025
AFÖ26H;Examensarbete för magisterexamen i företagsekonomi;15;Samhällsvetenskapliga området;SA;100;VT2021
AHI23V;Examensarbete i historia för ämneslärarexamen, inriktning grundskolans årskurs 7-9;30;Humanistiska området;HU;75;VT2020
AHI23V;Examensarbete i historia för ämneslärarexamen, inriktning grundskolans årskurs 7-9;30;Undervisningsområdet;LU;25;VT2020
AHI23W;Examensarbete i historia för ämneslärarexamen, inriktning gymnasieskolan;30;Humanistiska området;HU;75;VT2020
AHI23W;Examensarbete i historia för ämneslärarexamen, inriktning gymnasieskolan;30;Undervisningsområdet;LU;25;VT2020
AHI263;Afrikanska studier: Islam och islamiska samhällen i Afrika;7;Humanistiska området;HU;100;HT2020
AHI26P;Afrikanska studier: Islam och islamiska samhällen i Afrika;7;Humanistiska området;HU;100;VT2021
AHI272;Afrikanska studier: Litteratur och politik i det samtida Afrika;7;Humanistiska området;HU;100;HT2021
AHI29P;Examensarbete, magisterexamen i historia;15;Humanistiska området;HU;100;HT2023
AHI29Q;Historievetenskaplig litteraturkurs;7,5;Humanistiska området;HU;100;HT2023
AHI29R;Historievetenskapens teori och metod;7,5;Humanistiska området;HU;100;HT2023
AIH237;Examensarbete i idrott och hälsa för ämneslärarexamen inriktning grundskolans årskurs 7-9;30;Idrottsliga området;ID;100;HT2019
AIH24T;Examensarbete i idrott och hälsa för ämneslärarexamen inriktning gymnasieskolan;30;Idrottsliga området;ID;100;VT2020
AIK232;Data Warehousing;7,5;Tekniska området;TE;100;VT2019
AJP23N;Introduktion till interkulturella litteraturstudier;7,5;Humanistiska området;HU;100;VT2020
AJP23P;Interkulturella litteraturstudier: Akademiskt skrivande;7,5;Humanistiska området;HU;100;VT2020
AJP23Q;Världslitteraturer: Asien och Europa;7,5;Humanistiska området;HU;100;VT2020
AJP23R;Världslitteraturer: Nord- och Sydamerika;7,5;Humanistiska området;HU;100;VT2020
AJP25X;Interkulturella litteraturstudier: Litteratur och genus - teori och kritik;7,5;Humanistiska området;HU;100;HT2020
AJP264;Migrationslitteratur i dåtid och nutid;7,5;Humanistiska området;HU;100;HT2020
AJP26Z;Interkulturella litteraturstudier: Litteratur och politik i det samtida Afrika;7,5;Humanistiska området;HU;100;HT2021
AJP278;Interkulturella litteraturstudier: Teori och metod;7,5;Humanistiska området;HU;100;HT2021
AJP279;Interkulturella litteraturstudier: Översättningsprojekt;7,5;Humanistiska området;HU;100;HT2021
AJP27A;Interkulturella litteraturstudier: Skönlitteratur på originalspråk;7,5;Humanistiska området;HU;100;HT2021
AJP27B;Interkulturella litteraturstudier: Akademisk läsning;7,5;Humanistiska området;HU;100;HT2021
AJP287;Japanska: Interkulturell kommunikation;15;Humanistiska området;HU;100;HT2022
AJP2A9;Interkulturella litteraturstudier: Masterexamensarbete;30;Humanistiska området;HU;100;HT2023
AJP2AG;Japanska: Översättningens praktik;15;Humanistiska området;HU;100;VT2024
AJP2AH;Klassisk japanska;15;Humanistiska området;HU;100;VT2024
AKG27R;Management och tolkning av kulturarv;7,5;Samhällsvetenskapliga området;SA;100;VT2022
AKI25K;Examensarbete i kinesiska för ämneslärarexamen, inriktning gymnasieskolan;30;Humanistiska området;HU;75;VT2020
AKI25K;Examensarbete i kinesiska för ämneslärarexamen, inriktning gymnasieskolan;30;Undervisningsområdet;LU;25;VT2020
AKI28Y;Kinesiska: Avancerad kurs i kinesiska språket;15;Humanistiska området;HU;100;VT2023
AKI28Z;Kinesiska: Praktik för undervisning i högre utbildning I;15;Humanistiska området;HU;100;VT2023
AKI292;Kinesiska: Praktik för undervisning i högre utbildning II;15;Humanistiska området;HU;100;VT2023
AKI2BN;Avancerad kinesisk konversation: kultur, samhälle och argumentation;7,5;Humanistiska området;HU;100;HT2025
AMC22C;Personcentrerad vård vid astma/KOL/allergi, del 2;7,5;Medicinska området;ME;100;HT2018
AMC243;Smärta i den kliniska vardagen;15;Medicinska området;ME;100;VT2020
AMC24R;Personcentrerad vård vid astma/KOL/allergi, del I;7,5;Medicinska området;ME;100;VT2020
AMC25W;Personcentrerad vård vid astma/KOL/allergi, del 2;7,5;Medicinska området;ME;100;HT2020
AMC265;Farmakologisk behandling vid diabetes;7,5;Medicinska området;ME;100;HT2020
AMC288;Fysisk aktivitet och träning som prevention och behandling;15;Medicinska området;ME;100;HT2022
AMC28N;Evidensbaserat arbetssätt och forskningsmetodik inom fysioterapi;15;Medicinska området;ME;100;HT2022
AMC29F;Examensarbete för magisterexamen i fysioterapi;15;Medicinska området;ME;100;HT2023
AMC29Y;Förskrivningsrätt för vissa läkemedel och förbrukningsartiklar;15;Medicinska området;ME;100;HT2023
AMC2A7;Kardiologi: Arytmi;7,5;Medicinska området;ME;100;HT2023
AMC2AE;Fysioterapi med fokus på smärta och hållbar utveckling;15;Medicinska området;ME;100;VT2024
AMC2BG;Förskrivningsrätt för vissa läkemedel och förbrukningsartiklar;15;Medicinska området;ME;100;VT2025
AMD238;Examensarbete i matematik för ämneslärarexamen inriktning gymnasieskolan;30;Naturvetenskapliga området;NA;100;HT2019
AMD239;Examensarbete i matematik för ämneslärarexamen inriktning grundskolans årskurs 7-9;30;Naturvetenskapliga området;NA;100;HT2019
AMI22T;Statistisk inlärning;7,5;Naturvetenskapliga området;NA;100;VT2019
AMI22Z;Riskanalys;7,5;Naturvetenskapliga området;NA;100;VT2019
AMI23A;Dataanalys och visualisering;7,5;Naturvetenskapliga området;NA;100;HT2019
AMI23C;Komplexitet och operationsanalytiska metoder;7,5;Naturvetenskapliga området;NA;100;HT2019
AMI23G;Maskininlärning;7,5;Naturvetenskapliga området;NA;100;HT2019
